adidas,Yeezy Boost 350 V2,Black,Red,(2017/2020)
Nike Air Max 95,OG,Neon,(2020)
Jordan 1 Retro High,Dark,Mocha
adidas,Yeezy 500,Utility,Black
adidas,Yeezy Boost 350 V2,Zebra
